ordine_data,revenue,google_search_spent,google_performance_max_spent,fb_retargeting_spent,fb_prospecting_spent,google_organico,Sconti
2021-03-31,7661.99,109.91,0.0,0.0,0.0,0,1
2021-04-01,5229.36,94.23,0.0,0.0,0.0,0,3
2021-04-02,3601.65,77.91,0.0,0.0,0.0,0,1
2021-04-03,1308.64,95.21,0.0,0.0,0.0,0,0
2021-04-04,950.99,155.72,0.0,0.0,0.0,0,0
2021-04-05,4825.42,173.81,0.0,0.0,0.0,0,1
2021-04-06,8799.39,175.32,0.0,0.0,0.0,0,2
2021-04-07,7573.86,181.36,0.0,0.0,0.0,0,1
2021-04-08,6539.41,166.62,0.0,0.0,0.0,0,1
2021-04-09,4263.83,90.22,0.0,0.0,0.0,0,0
2021-04-10,2521.85,74.5,0.0,0.0,0.0,0,1
2021-04-11,4306.55,78.84,0.0,0.0,0.0,0,1
2021-04-12,8534.21,149.98,0.0,0.0,0.0,0,1
2021-04-13,7805.45,123.6,0.0,0.0,0.0,0,0
2021-04-14,6675.57,153.32,0.0,0.0,0.0,0,0
2021-04-15,20908.25,180.91,0.0,0.0,0.0,0,146
2021-04-16,5911.01,434.61,0.0,0.0,0.0,0,25
2021-04-17,4523.19,428.31,0.0,0.0,0.0,0,19
2021-04-18,5798.83,644.84,0.0,0.0,0.0,0,19
2021-04-19,9356.96,544.46,0.0,0.0,0.0,0,16
2021-04-20,9777.11,516.65,0.0,0.0,0.0,0,24
2021-04-21,8409.55,523.78,0.0,0.0,0.0,0,20
2021-04-22,17250.29,486.56,0.0,0.0,0.0,0,156
2021-04-23,3720.04,428.99,0.0,0.0,0.0,0,11
2021-04-24,2553.41,242.99,0.0,0.0,0.0,0,7
2021-04-25,3967.11,353.59,0.0,0.0,0.0,0,0
2021-04-26,7278.68,745.75,0.0,0.0,0.0,0,2
2021-04-27,7211.06,593.95,0.0,0.0,0.0,0,1
2021-04-28,5993.81,598.16,0.0,0.0,0.0,0,6
2021-04-29,5699.19,543.0,0.0,0.0,0.0,0,2
2021-04-30,4787.37,339.53,0.0,0.0,0.0,0,2
2021-05-01,1710.83,245.65,0.0,0.0,43.39,0,0
2021-05-02,3683.87,351.04,0.0,0.0,43.83,0,1
2021-05-03,8531.04,912.41,0.0,0.0,43.86,0,2
2021-05-04,7677.34,724.57,0.0,0.0,43.54,0,2
2021-05-05,6387.9,676.09,0.0,0.0,43.51,0,1
2021-05-06,5311.42,572.26,0.0,0.0,42.51,0,2
2021-05-07,3434.05,383.43,0.0,0.0,43.05,0,0
2021-05-08,2227.26,250.96,0.0,0.0,44.6,0,0
2021-05-09,2857.6,295.04,0.0,0.0,44.01,0,2
2021-05-10,7931.79,691.07,0.0,0.0,42.23,0,3
2021-05-11,8248.31,625.68,0.0,0.0,43.29,0,3
2021-05-12,6358.54,543.49,0.0,0.0,43.57,0,0
2021-05-13,5224.73,771.8,0.0,0.0,42.76,0,4
2021-05-14,3791.62,279.99,0.0,0.0,43.45,0,0
2021-05-15,2003.46,270.17,0.0,0.0,45.56,0,0
2021-05-16,3880.62,269.67,0.0,0.0,43.89,0,1
2021-05-17,7126.09,304.37,0.0,0.0,42.82,0,3
2021-05-18,7800.73,274.45,0.0,0.0,42.66,0,2
2021-05-19,6719.86,246.35,0.0,0.0,42.46,0,1
2021-05-20,5035.2,222.03,0.0,26.44,77.32,0,3
2021-05-21,3082.65,148.91,0.0,32.88,78.71,0,2
2021-05-22,1631.54,234.24,0.0,51.05,110.36,0,0
2021-05-23,2296.31,282.58,0.0,44.62,100.81,0,2
2021-05-24,6635.84,466.42,0.0,41.94,83.83,0,0
2021-05-25,6602.19,399.83,0.0,30.25,47.28,0,2
2021-05-26,5260.06,395.75,0.0,24.12,39.15,0,3
2021-05-27,5268.55,523.6,0.0,35.07,79.31,0,1
2021-05-28,3797.2,276.01,0.0,59.37,105.9,0,1
2021-05-29,1610.59,259.98,0.0,63.98,106.28,0,0
2021-05-30,2489.93,267.77,0.0,48.71,72.18,0,0
2021-05-31,8191.27,750.32,0.0,65.08,89.76,0,19
2021-06-01,5594.59,504.18,0.0,60.29,90.2,0,9
2021-06-02,3273.59,567.1,0.0,66.72,104.7,0,8
2021-06-03,6769.56,534.31,0.0,70.37,98.15,0,3
2021-06-04,5400.94,582.42,0.0,79.07,104.18,0,21
2021-06-05,2143.09,462.22,0.0,82.61,93.15,0,0
2021-06-06,3810.04,582.9,0.0,60.31,77.13,0,0
2021-06-07,7127.07,606.55,0.0,101.18,135.47,0,0
2021-06-08,5901.4,164.4,0.0,81.47,117.05,0,0
2021-06-09,5496.93,218.47,0.0,112.46,118.72,0,1
2021-06-10,4833.02,182.42,0.0,124.14,117.22,0,1
2021-06-11,2736.77,103.54,0.0,94.74,104.94,0,0
2021-06-12,1832.07,515.06,0.0,83.68,98.24,0,0
2021-06-13,3108.91,395.55,0.0,74.55,97.69,0,2
2021-06-14,6200.66,362.56,0.0,78.88,101.38,0,0
2021-06-15,6358.25,309.12,0.0,41.57,71.15,0,0
2021-06-16,5523.72,310.23,0.0,23.65,59.81,0,2
2021-06-17,4075.17,242.91,0.0,23.91,58.86,0,1
2021-06-18,3190.81,230.77,0.0,22.13,57.74,0,0
2021-06-19,1607.29,230.15,0.0,24.84,59.69,0,0
2021-06-20,3017.02,229.66,0.0,23.32,59.14,0,0
2021-06-21,6583.68,241.45,0.0,26.51,61.69,0,1
2021-06-22,5802.83,240.17,0.0,26.48,61.41,0,3
2021-06-23,5474.51,231.63,0.0,26.5,59.66,0,2
2021-06-24,3807.75,230.02,0.0,23.87,58.01,0,2
2021-06-25,2892.49,227.19,0.0,16.29,53.79,0,2
2021-06-26,1737.1,225.78,0.0,22.04,60.12,0,0
2021-06-27,2385.43,223.9,0.0,22.55,58.62,0,0
2021-06-28,19620.76,225.49,0.0,19.14,53.76,0,153
2021-06-29,17274.83,222.77,0.0,22.67,60.63,0,118
2021-06-30,5361.66,218.34,0.0,20.37,59.39,0,1
2021-07-01,5643.68,233.6,0.0,17.52,58.0,0,0
2021-07-02,3090.39,228.51,0.0,15.61,58.36,0,1
2021-07-03,1874.72,226.6,0.0,14.22,61.77,0,0
2021-07-04,2855.95,228.19,0.0,16.85,58.05,0,0
2021-07-05,5862.57,226.74,0.0,31.11,102.32,0,0
2021-07-06,5517.47,264.95,0.0,21.25,61.57,0,0
2021-07-07,4944.32,265.57,0.0,24.38,65.42,0,2
2021-07-08,4976.24,262.6,0.0,20.59,57.16,0,1
2021-07-09,2791.55,236.37,0.0,10.27,40.19,0,2
2021-07-10,1467.34,210.19,48.77,11.0,36.66,0,0
2021-07-11,2056.06,171.21,56.34,11.84,41.48,0,1
2021-07-12,6019.36,260.86,94.91,23.21,64.03,0,3
2021-07-13,5450.72,219.52,41.51,27.31,77.6,0,0
2021-07-14,5766.5,198.96,79.17,22.47,77.07,0,0
2021-07-15,4547.46,194.06,88.36,29.33,76.59,0,1
2021-07-16,2674.17,148.47,69.06,26.23,71.8,0,2
2021-07-17,1388.92,117.8,64.15,23.14,57.91,0,0
2021-07-18,2592.14,157.05,103.3,23.21,61.41,0,1
2021-07-19,6557.72,387.93,138.37,20.36,61.28,0,1
2021-07-20,5493.61,310.67,83.99,21.9,60.68,0,1
2021-07-21,4960.18,301.7,79.98,21.5,59.24,0,1
2021-07-22,4082.07,289.23,107.3,23.36,57.62,0,0
2021-07-23,2827.71,186.54,54.07,23.84,58.84,0,0
2021-07-24,2192.61,220.12,70.94,25.84,62.27,0,0
2021-07-25,2415.48,219.63,129.26,24.04,58.74,0,0
2021-07-26,6390.97,272.34,105.16,26.12,60.24,0,2
2021-07-27,5805.67,233.6,98.9,27.81,60.64,0,1
2021-07-28,5260.29,225.42,77.79,26.58,59.68,0,2
2021-07-29,3945.85,150.93,110.73,25.59,59.56,0,0
2021-07-30,3022.08,186.26,78.93,27.32,58.16,0,0
2021-07-31,1860.57,170.99,52.37,27.53,56.32,0,0
2021-08-01,2537.07,188.81,69.1,24.38,61.27,0,0
2021-08-02,4990.65,270.79,72.24,22.32,60.2,0,1
2021-08-03,5826.46,189.48,64.69,17.08,45.7,0,1
2021-08-04,4086.3,174.73,47.28,13.25,39.57,0,1
2021-08-05,4641.57,177.01,50.51,13.24,38.87,0,2
2021-08-06,2591.65,135.43,41.87,6.54,38.93,0,1
2021-08-07,1874.14,118.78,38.75,4.94,41.4,0,1
2021-08-08,2004.56,122.97,53.0,4.84,40.25,0,0
2021-08-09,4374.03,199.12,69.13,6.33,40.02,0,0
2021-08-10,3652.06,160.96,47.46,6.45,40.12,0,0
